account_id,district_id,frequency,account_open_date,client_id
576,55,MONTHLY STATEMENTS,1/1/1993,692
3818,74,MONTHLY STATEMENTS,1/1/1993,4601
704,55,MONTHLY STATEMENTS,1/1/1993,844
2378,16,MONTHLY STATEMENTS,1/1/1993,2873
2632,24,MONTHLY STATEMENTS,1/2/1993,3177
1972,77,MONTHLY STATEMENTS,1/2/1993,2397
1539,1,STATEMENTS AFTER TRANSACTION,1/3/1993,1866
793,47,MONTHLY STATEMENTS,1/3/1993,950
2484,74,MONTHLY STATEMENTS,1/3/1993,2999
1695,76,MONTHLY STATEMENTS,1/3/1993,2058
1726,48,MONTHLY STATEMENTS,1/3/1993,2093
2881,70,MONTHLY STATEMENTS,1/4/1993,3483
2357,19,MONTHLY STATEMENTS,1/4/1993,2849
2177,62,MONTHLY STATEMENTS,1/4/1993,2636
485,6,STATEMENTS AFTER TRANSACTION,1/4/1993,583
652,21,MONTHLY STATEMENTS,1/5/1993,782
9635,70,MONTHLY STATEMENTS,1/5/1993,11860
1844,44,MONTHLY STATEMENTS,1/6/1993,2236
1926,37,MONTHLY STATEMENTS,1/6/1993,2338
2393,10,MONTHLY STATEMENTS,1/7/1993,2889
3510,41,MONTHLY STATEMENTS,1/7/1993,4238
1276,36,MONTHLY STATEMENTS,1/7/1993,1540
1637,1,MONTHLY STATEMENTS,1/8/1993,1984
3871,26,MONTHLY STATEMENTS,1/8/1993,4665
192,55,MONTHLY STATEMENTS,1/8/1993,232
764,1,MONTHLY STATEMENTS,1/8/1993,914
2087,7,WEEKLY STATEMENTS,1/8/1993,2530
2122,68,MONTHLY STATEMENTS,1/8/1993,2566
3592,54,MONTHLY STATEMENTS,1/8/1993,4335
3487,41,MONTHLY STATEMENTS,1/8/1993,4215
435,38,MONTHLY STATEMENTS,1/8/1993,523
1730,1,MONTHLY STATEMENTS,1/9/1993,2099
1493,41,MONTHLY STATEMENTS,1/9/1993,1810
374,38,MONTHLY STATEMENTS,1/9/1993,454
2925,1,MONTHLY STATEMENTS,1/10/1993,3533
866,9,MONTHLY STATEMENTS,1/10/1993,1044
1628,60,MONTHLY STATEMENTS,1/10/1993,1973
2379,44,MONTHLY STATEMENTS,1/10/1993,2874
1979,26,MONTHLY STATEMENTS,1/11/1993,2404
346,37,MONTHLY STATEMENTS,1/11/1993,423
1338,74,MONTHLY STATEMENTS,1/11/1993,1619
1909,14,MONTHLY STATEMENTS,1/12/1993,2319
2099,3,WEEKLY STATEMENTS,1/12/1993,2542
3760,44,MONTHLY STATEMENTS,1/13/1993,4536
5270,44,MONTHLY STATEMENTS,1/13/1993,6367
1699,53,MONTHLY STATEMENTS,1/14/1993,2064
3909,1,MONTHLY STATEMENTS,1/14/1993,4715
2926,50,MONTHLY STATEMENTS,1/14/1993,3534
1731,33,MONTHLY STATEMENTS,1/14/1993,2100
11265,15,MONTHLY STATEMENTS,1/14/1993,13845
2519,4,MONTHLY STATEMENTS,1/15/1993,3041
10364,55,MONTHLY STATEMENTS,1/17/1993,12754
1481,15,MONTHLY STATEMENTS,1/17/1993,1794
401,32,MONTHLY STATEMENTS,1/18/1993,485
4034,1,MONTHLY STATEMENTS,1/18/1993,4862
2330,54,MONTHLY STATEMENTS,1/19/1993,2818
1806,40,MONTHLY STATEMENTS,1/19/1993,2187
3834,54,MONTHLY STATEMENTS,1/19/1993,4620
1222,66,MONTHLY STATEMENTS,1/20/1993,1475
212,27,WEEKLY STATEMENTS,1/20/1993,255
456,49,MONTHLY STATEMENTS,1/21/1993,548
459,47,MONTHLY STATEMENTS,1/21/1993,551
772,45,MONTHLY STATEMENTS,1/21/1993,924
1019,52,MONTHLY STATEMENTS,1/21/1993,1223
11295,74,MONTHLY STATEMENTS,1/21/1993,13886
2970,60,MONTHLY STATEMENTS,1/22/1993,3586
2676,73,MONTHLY STATEMENTS,1/22/1993,3231
1536,41,WEEKLY STATEMENTS,1/22/1993,1862
1179,74,MONTHLY STATEMENTS,1/23/1993,1419
280,25,MONTHLY STATEMENTS,1/23/1993,338
2425,41,MONTHLY STATEMENTS,1/23/1993,2930
9307,68,MONTHLY STATEMENTS,1/24/1993,11461
4055,23,MONTHLY STATEMENTS,1/24/1993,4886
5065,66,MONTHLY STATEMENTS,1/24/1993,6114
3704,75,MONTHLY STATEMENTS,1/24/1993,4466
477,1,MONTHLY STATEMENTS,1/25/1993,574
5891,54,MONTHLY STATEMENTS,1/25/1993,7127
1000,77,MONTHLY STATEMENTS,1/25/1993,1204
1750,1,MONTHLY STATEMENTS,1/26/1993,2122
2023,68,MONTHLY STATEMENTS,1/26/1993,2457
6473,12,MONTHLY STATEMENTS,1/26/1993,7815
1649,46,MONTHLY STATEMENTS,1/26/1993,1999
2670,13,MONTHLY STATEMENTS,1/27/1993,3225
1127,27,MONTHLY STATEMENTS,1/27/1993,1353
163,30,MONTHLY STATEMENTS,1/27/1993,197
2566,48,MONTHLY STATEMENTS,1/27/1993,3097
9,70,MONTHLY STATEMENTS,1/27/1993,12
1144,59,MONTHLY STATEMENTS,1/28/1993,1375
2902,32,MONTHLY STATEMENTS,1/28/1993,3507
4296,63,MONTHLY STATEMENTS,1/28/1993,5175
443,64,MONTHLY STATEMENTS,1/28/1993,534
3693,61,MONTHLY STATEMENTS,1/29/1993,4453
2070,72,MONTHLY STATEMENTS,1/29/1993,2510
1843,12,MONTHLY STATEMENTS,1/30/1993,2235
2714,1,MONTHLY STATEMENTS,1/30/1993,3276
4078,40,MONTHLY STATEMENTS,1/30/1993,4915
1675,36,MONTHLY STATEMENTS,2/1/1993,2034
5868,44,MONTHLY STATEMENTS,2/2/1993,7100
1805,1,MONTHLY STATEMENTS,2/2/1993,2186
2434,17,MONTHLY STATEMENTS,2/2/1993,2940
3007,16,MONTHLY STATEMENTS,2/2/1993,3632
2574,68,MONTHLY STATEMENTS,2/2/1993,3105
862,64,WEEKLY STATEMENTS,2/2/1993,1039
1132,1,WEEKLY STATEMENTS,2/3/1993,1359
4484,54,MONTHLY STATEMENTS,2/3/1993,5409
943,1,MONTHLY STATEMENTS,2/3/1993,1137
3514,7,MONTHLY STATEMENTS,2/3/1993,4243
3983,67,MONTHLY STATEMENTS,2/4/1993,4803
9265,1,MONTHLY STATEMENTS,2/4/1993,11409
465,32,MONTHLY STATEMENTS,2/4/1993,559
982,54,MONTHLY STATEMENTS,2/5/1993,1183
411,70,MONTHLY STATEMENTS,2/5/1993,496
890,14,MONTHLY STATEMENTS,2/5/1993,1072
627,63,MONTHLY STATEMENTS,2/5/1993,754
2429,61,MONTHLY STATEMENTS,2/6/1993,2935
3960,64,MONTHLY STATEMENTS,2/6/1993,4777
2256,48,MONTHLY STATEMENTS,2/6/1993,2731
8051,1,WEEKLY STATEMENTS,2/7/1993,9945
2647,73,MONTHLY STATEMENTS,2/8/1993,3193
2241,6,MONTHLY STATEMENTS,2/8/1993,2714
5622,70,MONTHLY STATEMENTS,2/8/1993,6789
2884,1,MONTHLY STATEMENTS,2/8/1993,3486
1830,10,MONTHLY STATEMENTS,2/8/1993,2220
7753,74,MONTHLY STATEMENTS,2/8/1993,9593
244,24,MONTHLY STATEMENTS,2/8/1993,295
1477,1,MONTHLY STATEMENTS,2/8/1993,1790
4240,50,MONTHLY STATEMENTS,2/8/1993,5111
1006,6,MONTHLY STATEMENTS,2/8/1993,1210
830,74,MONTHLY STATEMENTS,2/8/1993,999
9188,45,MONTHLY STATEMENTS,2/8/1993,11314
1965,57,STATEMENTS AFTER TRANSACTION,2/8/1993,2390
1134,6,MONTHLY STATEMENTS,2/9/1993,1363
1601,10,MONTHLY STATEMENTS,2/9/1993,1941
2861,38,MONTHLY STATEMENTS,2/10/1993,3457
813,16,MONTHLY STATEMENTS,2/10/1993,976
2585,75,MONTHLY STATEMENTS,2/10/1993,3120
2220,16,MONTHLY STATEMENTS,2/10/1993,2689
2763,64,MONTHLY STATEMENTS,2/11/1993,3336
2342,51,MONTHLY STATEMENTS,2/11/1993,2830
1944,72,MONTHLY STATEMENTS,2/12/1993,2363
1966,27,MONTHLY STATEMENTS,2/12/1993,2391
1801,46,MONTHLY STATEMENTS,2/13/1993,2181
2543,68,MONTHLY STATEMENTS,2/13/1993,3070
2293,31,MONTHLY STATEMENTS,2/13/1993,2776
11013,1,WEEKLY STATEMENTS,2/14/1993,13539
2423,30,MONTHLY STATEMENTS,2/14/1993,2928
142,51,MONTHLY STATEMENTS,2/15/1993,171
3424,74,MONTHLY STATEMENTS,2/16/1993,4139
539,13,STATEMENTS AFTER TRANSACTION,2/16/1993,649
979,21,MONTHLY STATEMENTS,2/16/1993,1180
3554,66,MONTHLY STATEMENTS,2/16/1993,4289
3545,51,MONTHLY STATEMENTS,2/17/1993,4279
3047,16,MONTHLY STATEMENTS,2/17/1993,3684
3374,21,MONTHLY STATEMENTS,2/17/1993,4080
96,68,MONTHLY STATEMENTS,2/18/1993,114
461,30,MONTHLY STATEMENTS,2/18/1993,554
3593,1,MONTHLY STATEMENTS,2/18/1993,4336
3026,24,MONTHLY STATEMENTS,2/18/1993,3655
1054,10,MONTHLY STATEMENTS,2/19/1993,1266
2433,71,MONTHLY STATEMENTS,2/19/1993,2939
3691,50,MONTHLY STATEMENTS,2/19/1993,4451
3787,70,MONTHLY STATEMENTS,2/19/1993,4567
128,2,MONTHLY STATEMENTS,2/19/1993,153
3168,39,MONTHLY STATEMENTS,2/20/1993,3831
4937,12,MONTHLY STATEMENTS,2/20/1993,5965
2124,69,MONTHLY STATEMENTS,2/20/1993,2569
322,1,MONTHLY STATEMENTS,2/20/1993,392
4355,31,MONTHLY STATEMENTS,2/21/1993,5246
1678,1,MONTHLY STATEMENTS,2/22/1993,2038
2396,2,MONTHLY STATEMENTS,2/22/1993,2893
1005,54,WEEKLY STATEMENTS,2/23/1993,1209
697,28,MONTHLY STATEMENTS,2/23/1993,835
925,59,MONTHLY STATEMENTS,2/23/1993,1114
2110,64,MONTHLY STATEMENTS,2/23/1993,2554
1366,60,MONTHLY STATEMENTS,2/24/1993,1654
1050,57,STATEMENTS AFTER TRANSACTION,2/24/1993,1260
3117,33,MONTHLY STATEMENTS,2/24/1993,3770
562,50,MONTHLY STATEMENTS,2/25/1993,675
5369,54,MONTHLY STATEMENTS,2/25/1993,6481
2242,7,WEEKLY STATEMENTS,2/25/1993,2715
197,1,MONTHLY STATEMENTS,2/25/1993,239
496,69,MONTHLY STATEMENTS,2/26/1993,596
2,1,MONTHLY STATEMENTS,2/26/1993,2
7401,1,MONTHLY STATEMENTS,2/26/1993,9173
2486,1,MONTHLY STATEMENTS,2/27/1993,3001
428,1,MONTHLY STATEMENTS,2/27/1993,515
3651,23,MONTHLY STATEMENTS,2/27/1993,4402
1775,17,MONTHLY STATEMENTS,2/27/1993,2152
1688,70,MONTHLY STATEMENTS,2/27/1993,2049
361,51,MONTHLY STATEMENTS,2/27/1993,439
1829,43,MONTHLY STATEMENTS,2/27/1993,2218
1575,1,MONTHLY STATEMENTS,2/27/1993,1908
9203,70,MONTHLY STATEMENTS,2/27/1993,11331
3008,72,MONTHLY STATEMENTS,2/27/1993,3633
239,69,WEEKLY STATEMENTS,3/1/1993,289
3302,21,MONTHLY STATEMENTS,3/2/1993,3994
415,25,MONTHLY STATEMENTS,3/3/1993,501
3513,20,MONTHLY STATEMENTS,3/3/1993,4241
4134,7,MONTHLY STATEMENTS,3/3/1993,4979
1077,14,MONTHLY STATEMENTS,3/3/1993,1292
1713,43,MONTHLY STATEMENTS,3/3/1993,2078
1378,59,MONTHLY STATEMENTS,3/4/1993,1668
2503,1,MONTHLY STATEMENTS,3/5/1993,3021
559,46,MONTHLY STATEMENTS,3/5/1993,672
6555,38,WEEKLY STATEMENTS,3/5/1993,7914
744,42,MONTHLY STATEMENTS,3/6/1993,892
882,9,MONTHLY STATEMENTS,3/6/1993,1062
86,54,MONTHLY STATEMENTS,3/7/1993,102
1126,56,MONTHLY STATEMENTS,3/8/1993,1352
2666,49,MONTHLY STATEMENTS,3/8/1993,3218
